# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|40|001|9009|88103|1|7|105|800|20250101|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250104|00:00|0.00025||||||||||||||.00011|.00009
RD|I|40|001|9009|88103|1|7|105|800|20250107|00:00|0.00014||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250110|00:00|0.00052||||||||||||||.00011|.00015
RD|I|40|001|9009|88103|1|7|105|800|20250113|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250116|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250119|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250122|00:00|0.00009||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250125|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250128|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250131|00:00|-0.00002||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250203|00:00|0.00018||||||||||||||.00011|.00008
RD|I|40|001|9009|88103|1|7|105|800|20250206|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250209|00:00|0.00006||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250212|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250215|00:00|0.00018||||||||||||||.00011|.00008
RD|I|40|001|9009|88103|1|7|105|800|20250218|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250221|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250224|00:00|-0.00003||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250227|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250302|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250305|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250308|00:00|-0.00002||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250311|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250314|00:00|-0.00003||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250317|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250320|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250323|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250326|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250329|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250401|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250404|00:00|0.00010||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250407|00:00|-0.00001||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250410|00:00|0.00034||||||||||||||.00011|.00011
RD|I|40|001|9009|88103|1|7|105|800|20250413|00:00|0.00037||||||||||||||.00011|.00011
RD|I|40|001|9009|88103|1|7|105|800|20250416|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250419|00:00|0.00023||||||||||||||.00011|.00009
RD|I|40|001|9009|88103|1|7|105|800|20250422|00:00|0.00052||||||||||||||.00011|.00015
RD|I|40|001|9009|88103|1|7|105|800|20250425|00:00|0.00020||||||||||||||.00011|.00008
RD|I|40|001|9009|88103|1|7|105|800|20250428|00:00|0.00041||||||||||||||.00011|.00012
RD|I|40|001|9009|88103|1|7|105|800|20250501|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20250504|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250507|00:00|-0.00001||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20250510|00:00|-0.00001||||||||||||||.00011|.00006
