# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|40|001|9009|88103|1|7|105|800|20210101|00:00|0.00000||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210104|00:00|0.00017||||||||||||||.00024|.00015
RD|I|40|001|9009|88103|1|7|105|800|20210107|00:00|0.00000||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210110|00:00|0.00038||||||||||||||.00024|.00017
RD|I|40|001|9009|88103|1|7|105|800|20210113|00:00|0.00008||||||||||||||.00024|.00015
RD|I|40|001|9009|88103|1|7|105|800|20210116|00:00|0.00002||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210119|00:00|0.00000||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210122|00:00|0.00031||||||||||||||.00024|.00016
RD|I|40|001|9009|88103|1|7|105|800|20210125|00:00|0.00007||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210128|00:00|0.00000||||||||||||||.00023|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210131|00:00|0.00003||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210203|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210206|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210209|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210212|00:00|0.00018||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210215|00:00|0.00000||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210218|00:00||AF||||||||||||||
RD|I|40|001|9009|88103|1|7|105|800|20210221|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210224|00:00||AF||||||||||||||
RD|I|40|001|9009|88103|1|7|105|800|20210227|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210302|00:00|0.00006||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210305|00:00|0.00008||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210308|00:00|0.00000||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210311|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210314|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210317|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210320|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210323|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210326|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210329|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210401|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210404|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210407|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210410|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210413|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210416|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210419|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210422|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210425|00:00|0.00012||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210428|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210501|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210504|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210507|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210510|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210513|00:00|0.00000||||||||||||||.00021|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210516|00:00|0.00015||||||||||||||.00021|.00014
RD|I|40|001|9009|88103|1|7|105|800|20210519|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210522|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210525|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210528|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210531|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210603|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210606|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210609|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210612|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210615|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210618|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210621|00:00|0.00011||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210624|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20210627|00:00|0.00000||||||||||||||.00021|.00013
