# RD,State Code,County Code,Site ID,Parameter Code,Parameter,Parameter Abbreviation,Parameter Alternate Name,CAS Number,POC,Sample Duration,Unit Code,Units,Method Code,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency,Qualifier - 1,Qualifier - 2,Qualifier - 3,Alternate Method Detectable Limit,Makeup Sample,Standard Units,Still Valid,Round or Truncate,MAAC ppb,MAAC ug/m3,Type
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-05-28,1900-01-01,0.301,,,,,,0.00701,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-06-03,1900-01-01,0.585,,,,,,0.00715,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-06-09,1900-01-01,0.837,,,,,,0.00738,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-06-15,1900-01-01,1.24,,,,,,0.0074,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-06-21,1900-01-01,0.391,,,,,,0.00714,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-06-27,1900-01-01,0.262,,,,,,0.00707,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-07-03,1900-01-01,0.882,,,,,,0.00722,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-07-09,1900-01-01,0.377,,,,,,0.00728,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-07-15,1900-01-01,0.316,,,,,,0.00722,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-07-21,1900-01-01,0.989,,,,,,0.00708,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-07-27,1900-01-01,1.48,,,,,,0.00727,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-08-02,1900-01-01,0.626,,,,,,0.00703,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-08-08,1900-01-01,0.384,,,,,,0.00725,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-08-14,1900-01-01,0.763,,,,,,0.00707,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-08-20,1900-01-01,0.479,,,,,,0.0074,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-08-26,1900-01-01,0.704,,,,,,0.00724,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-09-01,1900-01-01,0.769,,,,,,0.0073,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-09-07,1900-01-01,0.623,,,,,,0.00716,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-09-13,1900-01-01,0.693,,,,,,0.00704,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-09-19,1900-01-01,0.652,,,,,,0.0071,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-09-25,1900-01-01,0.635,,,,,,0.00686,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-01,1900-01-01,1.51,,,,,,0.00674,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-07,1900-01-01,1.14,,,,,,0.00683,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-13,1900-01-01,0.571,,,,,,0.00721,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-19,1900-01-01,0.736,,,,,,0.00681,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-25,1900-01-01,0.552,,,,,,0.00664,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-27,1900-01-01,0.159,,,,,,0.00671,True,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-10-31,1900-01-01,0.363,,,QX,,,0.00645,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
