Parameter,Parameter Code,Method Code (no format),Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
"1,1,2,2-Tetrachloroethane",43818,51,051,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,1.3,-1.3,,0,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.004,-0.004,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,103,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.3,-0.3,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,105,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,106,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,109,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,110,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,112,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.04,-0.04,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,113,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,116,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,119,119,Intermittent,PERSONAL PUMP MOLECULAR SIEVE,GC/MS,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,136,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,145,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,153,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,172,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,176,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,210,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,211,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.14,-0.14,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,908,908,Intermittent,SKC Pump Charcoal Tube,GC/MS REAC SOP 1816,,,,0.18,-0.18,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,101,101,Intermittent,Canister Subambient Pressure,Multi Detector GC,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,172,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,176,176,Intermittent,6L Subatm SS Canister,Entech Precon GC/MS,,,,0.032,-0.032,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,51,051,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,4,-4,,0,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,103,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.25,-0.25,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,105,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,106,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,109,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,110,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,112,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.04,-0.04,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,113,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,116,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.08,-0.08,,3,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,117,117,Intermittent,TENAX SORBENT CARTRIDGE,GC/MS,,,,0.08,-0.08,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,136,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,145,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,153,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,172,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,176,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,210,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,211,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.14,-0.14,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,901,901,Intermittent,SKC Pump Charcoal Tube,GC/FID NIOSH 1003,,,,1.51,-1.51,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,51,051,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,4,-4,,0,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,103,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,105,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,106,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,109,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,110,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,112,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.3,-0.3,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,113,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,116,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,117,117,Intermittent,TENAX SORBENT CARTRIDGE,GC/MS,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,136,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.05,-0.05,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,145,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,172,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,176,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.06,-0.06,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,210,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,211,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.08,-0.08,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,901,901,Intermittent,SKC Pump Charcoal Tube,GC/FID NIOSH 1003,,,,1.8,-1.8,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,51,051,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,226,-226,,0,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,2,-2,,0,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,103,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.02,-0.02,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,105,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,106,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,109,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECRIV DET,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,110,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,112,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,113,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,116,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,136,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
